Grade name,Course name,MS Seq,concat2,MS description,MS-short-desc,MS-short-desc-seq,Baseline CMD,Subject milestone
1,English,1,1English1,"The alphabet, sounds",Alphabet-sounds,01-Alphabet-sounds,26,English: 01-Alphabet-sounds
1,English,2,1English2,Words related to Family,Family-words,02-Family-words,16,English: 02-Family-words
1,English,3,1English3,Words related to School,School-words,03-School-words,16,English: 03-School-words
1,English,4,1English4,Words related to Habits,Habits-words,04-Habits-words,16,English: 04-Habits-words
1,English,5,1English5,Words related to Animals,Animals-words,05-Animals-words,16,English: 05-Animals-words
1,English,6,1English6,Words related to Vehicles,Vehicles-words,06-Vehicles-words,16,English: 06-Vehicles-words
1,English,7,1English7,Words related to Nice People,People-words,07-People-words,11,English: 07-People-words
1,English,8,1English8,Words related to fruits and vegetables,Fruits-veg-words,08-Fruits-veg-words,16,English: 08-Fruits-veg-words
1,English,9,1English9,Words related to nature,Nature-words,09-Nature-words,15,English: 09-Nature-words
1,English,10,1English10,Words related to flowers and colours,Flowers-colors-words,10-Flowers-colors-words,14,English: 10-Flowers-colors-words
1,English,11,1English11,Words related to the village fair,Village-fair-words,11-Village-fair-words,15,English: 11-Village-fair-words
1,English,12,1English12,Words related to our body,Our-body-words,12-Our-body-words,14,English: 12-Our-body-words
1,English,13,1English13,"Time, calendar",Time-calendar,13-Time-calendar,15,English: 13-Time-calendar
1,EVS,1,1EVS1,Family,Family,01-Family,15,EVS: 01-Family
1,EVS,2,1EVS2,Body,Body,02-Body,15,EVS: 02-Body
1,EVS,3,1EVS3,"Flowers, trees",Flowers-trees,03-Flowers-trees,15,EVS: 03-Flowers-trees
1,EVS,4,1EVS4,"Fruits, vegetables",Fruits-vegetables,04-Fruits-vegetables,15,EVS: 04-Fruits-vegetables
1,EVS,5,1EVS5,Wind,Wind,05-Wind,8,EVS: 05-Wind
1,EVS,6,1EVS6,Animals,Animals,06-Animals,15,EVS: 06-Animals
1,EVS,7,1EVS7,"Food, water",Food-water,07-Food-water,15,EVS: 07-Food-water
1,EVS,8,1EVS8,"House, cleanliness",House-cleanliness,08-House-cleanliness,15,EVS: 08-House-cleanliness
1,EVS,9,1EVS9,Hygiene,Hygiene,09-Hygiene,8,EVS: 09-Hygiene
1,EVS,10,1EVS10,Vehicles,Vehicles,10-Vehicles,15,EVS: 10-Vehicles
1,EVS,11,1EVS11,Things at home,Things-at-home,11-Things-at-home,8,EVS: 11-Things-at-home
1,EVS,12,1EVS12,Games,Games,12-Games,8,EVS: 12-Games
1,EVS,13,1EVS13,Neighbours,Neighbours,13-Neighbours,8,EVS: 13-Neighbours
1,Mathematics,1,1Mathematics1,Getting used to the tab,Tab-intro,01-Tab-intro,16,Mathematics: 01-Tab-intro
1,Mathematics,2,1Mathematics2,Position and shapes,Positions-shapes,02-Positions-shapes,12,Mathematics: 02-Positions-shapes
1,Mathematics,3,1Mathematics3,"Identify, count numbers 1 to 5",Count-1-to-5,03-Count-1-to-5,12,Mathematics: 03-Count-1-to-5
1,Mathematics,4,1Mathematics4,"Addition, answer not more than 5",Add-upto-5,04-Add-upto-5,10,Mathematics: 04-Add-upto-5
1,Mathematics,5,1Mathematics5,"Subtraction, numbers 1 to 5",Subtract-upto-5,05-Subtract-upto-5,10,Mathematics: 05-Subtract-upto-5
1,Mathematics,6,1Mathematics6,Numbers 6 to 9,Numbers-6-to-9,06-Numbers-6-to-9,10,Mathematics: 06-Numbers-6-to-9
1,Mathematics,7,1Mathematics7,"Less-more, high-lower, numbers 1 to 9",Comparison-1-to-9,07-Comparison-1-to-9,13,Mathematics: 07-Comparison-1-to-9
1,Mathematics,8,1Mathematics8,"Addition 1 to 9, horizontal and vertical",Add-1-to-9,08-Add-1-to-9,8,Mathematics: 08-Add-1-to-9
1,Mathematics,9,1Mathematics9,Subtraction 1 to 9,Subtract-1-to-9,09-Subtract-1-to-9,8,Mathematics: 09-Subtract-1-to-9
1,Mathematics,10,1Mathematics10,Learn zero,Zero,10-Zero,10,Mathematics: 10-Zero
1,Mathematics,11,1Mathematics11,"Count items, numbers up to 20",Count-upto-20,11-Count-upto-20,8,Mathematics: 11-Count-upto-20
1,Mathematics,12,1Mathematics12,"Addition, below 20",Add-below-20,12-Add-below-20,13,Mathematics: 12-Add-below-20
1,Mathematics,13,1Mathematics13,Subtraction below 20,Subtract-below-20,13-Subtract-below-20,9,Mathematics: 13-Subtract-below-20
1,Mathematics,14,1Mathematics14,"100, tens numbers",Tens-upto-100,14-Tens-upto-100,13,Mathematics: 14-Tens-upto-100
1,Mathematics,15,1Mathematics15,"Tens, numbers up to 99",Numbers-upto-99,15-Numbers-upto-99,7,Mathematics: 15-Numbers-upto-99
1,Mathematics,16,1Mathematics16,"Money, time, measures, weight",Money-time-measures-weight,16-Money-time-measures-weight,14,Mathematics: 16-Money-time-measures-weight
1,Telugu,1,1Telugu1,Practise,Practise,01-Practise,16,Telugu: 01-Practise
1,Telugu,2,1Telugu2,Letters for palaka,palaka-letters,02-palaka-letters,10,Telugu: 02-palaka-letters
